n_estimators,precision,recall,accuracy,f1_score,roc_auc
2,0.9554109103790294,0.7634362948023918,0.9747286607799853,0.8487029716600782,0.8798948827616664
1,0.8501459386345839,0.8450624491384495,0.9717853200883002,0.847596571854428,0.9149086385390169
2,0.9548349739432542,0.7584828220641828,0.9742457689477557,0.8454075797610127,0.8774054722590199
3,0.9407509089559991,0.897180058734034,0.9852077420372123,0.9184490283789413,0.9456985163289547
4,0.9655131594523142,0.865760888794537,0.9846657205928729,0.9129201955005037,0.9312979882950353
5,0.9578152753108348,0.9158263453985777,0.9884401608325449,0.9363503174344783,0.955849099522463
6,0.9651277760876179,0.8979584615928953,0.9875137969094923,0.930332300811965,0.9473189193024569
7,0.9626339744530906,0.9279269716590596,0.9899643908335961,0.9449618966977139,0.9621203046944344
8,0.9681373467781235,0.913809574355164,0.9892055608115211,0.9401892974153622,0.9553657852474924
15,0.9676676896098203,0.9371616601210062,0.9912586723431094,0.9521703963332435,0.966978457462704
30,0.9682615047479912,0.9380108268761278,0.9913900714811311,0.9528961414733209,0.9674320102883607
60,0.9701868340388264,0.9406998549340126,0.9918105487228004,0.955215837030916,0.9688706750236145
